ID миссии (для десятичного разделителя можно использовать только точку);Начальное состояние миссии: 0 = Active, 1 = Blocked, 2 = TemporaryBlocked, 3 = Completed;Название миссии;"X координата миссии (от 0 до 1,  где 0 - крайнее левое, а 1 - крайнее правое положения на экране. Десятичный разделитель - точка "".""). Во взаимоисключающих миссиях позиция кнопки будет выбрана по первой в списке.";"Y координата миссии (от 0 до 1,  где 0 - крайнее нижнее, а 1 - крайнее верхнее положения на экране. Десятичный разделитель - точка "".""). Во взаимоисключающих миссиях позиция кнопки будет выбрана по первой в списке. находится выше в списке.";"ID взаимоисключающей миссии (Десятичный разделитель - точка ""."", можно указать только один ID и только из столобца ""ID миссии""). Допустипо оставлять пустое поле.";"Анлок Миссий. Нужно выбрать ID миссии только из столобца ""ID миссии"". Также можно использовать знак логического И  ""&"" чтобы открыть несколько миссий. Допустипо оставлять пустое поле.";Текст перед миссией;Текст происходящего в миссии;Сторона игрока;Сторона противника;"Анлок персонажа. Возможен анлок только одного. Можно использовать символ логического ИЛИ ""|"" для анлока первого заблокированного из списка. (Gull - Чайка, Owl - Совух, Crow - Ворон). Допустипо оставлять пустое поле.";Очки герою который проходил миссию (только целое число). Допустипо оставлять пустое поле.;Очки Ястребу (только целое число). Допустипо оставлять пустое поле.;Очки Ворону (только целое число). Допустипо оставлять пустое поле.;Очки Совуху (только целое число). Допустипо оставлять пустое поле.;Очки Чайке (только целое число). Допустипо оставлять пустое поле.
1;0;Переполох в гнезде;0.5;0.35;;2&3.1&3.2;В последние годы в птичьем мире творится что-то странное. Птенцы пропадают из гнезда, перелётные птицы улетают и не возвращается. После исчезновения целого клана грачей Птичий Совет решил всё-таки разобраться с исчезновениями. Совет отправляет Ястреба в лес расспросить птиц о деталях.;Птицы как будто потеряли разум — они разучились разговаривать и нападают на Ястреба. Многие гнёзда заброшены. Несомненно, происходит что-то ужасное!;Нет гнезда;Галки, сойки, воробьи;;5;;;;
2;1;Дальние дали;0.4;0.4;;4&7;Говорят, некоторые чайки улетают рыбачить далеко от берега и не возвращаются. Надо слетать к ним и расспросить о подробностях.;Даже разумные чайки вовсе не хотят пускать к себе чужака и яростно защищают гнездовья. Верховный Чай не даёт герою аудиенции. Но ему удаётся завоевать уважение Чайки — молодой наследницы племени. Она признаётся, что охотники правда пропадают в море, а племя это замалчивает. Чайка хочет вместе с нами разобраться в причинах.;Орлы;Чайки;Gull;5;;;;
3.1;1;Вороны против сов;0.65;0.4;3.2;5;В Чаще темно и мшисто. Герой отправляется выяснять, пропадают ли птицы там. Но обнаруживает, что Вороны добрались до Чащи первыми: они хотят выселить Сов и захватить таинственные угодья себе. Только местные обитатели знают все тайны Чащи. Если помочь Совам отбить атаку, они наверняка расскажут об исчезновениях больше.;Герой помогает Совам отбить нападение Ворон. В благодарность Совы рассказывают легенду о Чаще: говорят, в самой глубине Леса земля, деревья и мох иногда оживают и рождают богов. Больше знает мудрый старый Совух, но он спит глубоко в Чаще.;Совы;Вороны;;5;;-10;;
3.2;1;Вороны против сов;0.65;0.4;3.1;6;В Чаще темно и мшисто. Герой отправляется выяснять, пропадают ли птицы там. Но обнаруживает, что Вороны добрались до Чащи первыми: они хотят выселить Сов и захватить таинственные угодья себе. Вороны намного умнее Сов. Они одни смогут в полной мере разобраться в тайнах Чащи — и если помочь им выгнать Сов, согласятся поделиться находками с нами.;Герой помогает Воронам выбить Сов из их дупел. Вороны исследуют Чащу и заключают, что недавно здесь творилась удивительная магия — иногда в лесной чаще деревья и мох оживают, становясь богами. Такое застала семья одного из Воронов, но он не участвовал в налёте.;Вороны;Совы;;5;;;-10;
4;1;Шхеры;0.36;0.46;;9;Раз чайки пропадают далеко в море — значит, надо отправиться вслед за ними и поискать, не осталось ли от них следов.;Миссия-головоломка. Герой отправляется далеко в море, ночуя на шхерах, камнях и островках. Иногда с ним сражаются обезумевшие чайки, забывшие речь. На одной из дальних шхер герой находит странные руны и следы некоего ритуала! Исчезновение птиц — явно не случайность, а чьё-то деяние!;Чайки;Чайки;;5;;;;
5;1;Рекрутинг Совуха;0.52;0.45;;8&9;Герой отправляется в самые дебри Чащи на поиски Совуха. Что тот узнал о странной магии в глубине лесов?;Миссия-головоломка. Совух потерял память и нападает на нас, а вместе с ним — другие совы из глубин Чащи. Надо победить охрану четырёх рунных камней и при этом не убить Совуха, который будет пытаться на нас нападать. Когда мы рушим камни, Совух приходит в себя. На него нашло какое-то помрачение… он слышал голос бога, призывавшего стать его частью. Благодарный за спасение, Совух присоединяется к партии.;Орлы;Совы;Owl;5;;;;
6;1;Рекрутинг Ворона;0.3;0.55;;9;Семья Ворона погибла при таинственных обстоятельствах. Сам же он улетел в дальние поля — воевать со степными Ястребами и забываться. Чтобы его расспросить, придётся помочь.;Герой помогает Ворону в его миссии — зачистить аванпост степных ястребов. В благодарность тот рассказывает, что его семья не погибла, а начала слышать таинственный голос, заманивший их куда-то в глубину материка. Голос называл себя богом… Ворон хочет отомстить за семью и присоединяется к нашим поискам.;Вороны;Орлы;Crow;5;;;;
7;1;Утки, уУу;0.67;0.51;;;Утки — мирный народ. Они не лезут в политику других птиц. Интересно, а их тоже похищают?;На уток напали чайки… и вороны — вместе! Совет никогда раньше такого не видел. Придётся отбиваться малым отрядом. И сами утки нам не помогут — они не умеют воевать. Спасённые утки рассказывают легенду о Симурге — птице-из-птиц, коллективном птичьем разуме. Но это просто детская сказка…;Орлы;Чайки, Вороны;;5;;-15;;-15
8;1;Пустельги хотят войны;0.76;0.65;;;Пустельги — фракция орлов — хотят свободы и суверенитета. Но для спасения птиц от новой странной напасти нужны все силы. Придётся приструнить сепаратистов.;Герой приструняет сепаратистов.;Орлы;Орлы;;5;;10;10;10
9;1;Нападение Антагониста;0.5;0.56;;10;Внезапно на аванпост Птичьего Королевства нападает Антагонист (Совух или Ворон — тот из двух, кого мы не рекрутировали)! Он ведёт себя безумно, называет себя Симургом и никого не щадит! Защищайтесь!;Герой вместе с той фракцией, которой он когда-то помог, защищается от нападения — но не убивает обезумевшего Антагониста, а пленяет его. Прочитав задом наперёд древние руны с камней, герой освобождает Антагониста от помрачения. Тот рассказывает, что птиц не похищают — они улетают сами на голос Симурга, древнего бога, коллективного разума птиц. И добровольно становятся его частью. Но Симург обманул Антагониста, обещав сохранить ему разум… и теперь Антагонист хочет поквитаться!;Орлы + Вороны или Совы;Орлы + Совы или Вороны;Crow|Owl;5;;;;
10;1;Симург проснулся;0.48;0.75;;11;Нападение Антагониста было отвлекающим манёвром! На главное гнездо Совета нападает стая самых разных птиц. Это Симург. И он очень силён.;Победить не получится — к Симургу примкнули все виды птиц. Надо оборонять столицу, давая мирным птицам шанс отступить. Спасено много жизней, но столица захвачена…;Орлы, Вороны, Чайки, Совы;Орлы, Вороны, Чайки, Совы;;5;;;;
11;1;Феникс проснулся;0.7;0.85;;12.1&12.2;Казалось бы, всё потеряно, но что это? Из магической Рощи слышен новый голос — кажется, в ответ на появление Симурга проснулось новое божество…;Герой отправляется исследовать магическую Рощу в поискать нового союзника — и обнаруживает там птицу-Феникса. Фениксы просыпаются, когда мир в серьёзной беде. С неохотой они соглашаются помочь…;Орлы;Фениксы;;5;;;;
